Weight,Last,First,Conference,Allocated,ConfSeed,ConfFinish,Finish,ELO,Percent,Bonus,ELORank,Seed,Intermat,Coaches,RPI,Year,University,Record,Line
149,Keating, Jake,,,,,NQ,1365.52,62.5,76,16,NQ,NR,NR,NR,,,,
157,Finesilver,Mitch,ACC,,2,2,cons 16,1403.95,82.86,55.17,7,12,12,11,2,Jr.,DUKE,19-6,12
157,Green,Fred,ACC,,6,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
157,Hidlay,Hayden,ACC,,1,1,2,1483.14,96.3,57.69,2,1,2,3,4,Fr.,NCST,26-1,1
157,LaPrade,BC,ACC,,5,cons 06,NQ,,,,NR,NQ,NR,31,NR,,VT,,
157,Monday,Kennedy,ACC,,3,3,cons 12,1384.34,55.26,52.38,14,NS,NR,19,32,,UNC,21-16,31
157,Rahmani,Taleb,ACC,,4,4,cons 24,1382.65,56.25,50,16,NS,NR,24,19,,PITT,18-14,3
157,Colgan,Archie,Big 12,,2,1,cons 24,1379.21,78.05,37.5,21,9,9,10,23,Sr.,WYO,33-9,5
157,Gaxiola,Greg,Big 12,,9,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
157,Kinn,Tyler,Big 12,,10,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
157,Lofthouse,Raider,Big 12,,11,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
157,Moore,Zach,Big 12,,8,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
157,Moran, Tristan,Big 12,,12,cons 08,NQ,1371.91,72,61.11,23,NQ,NR,NR,NR,,,,
157,Mossing,Alex,Big 12,,7,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
157,Ream,Clayton,Big 12,,1,2,cons 24,1382.26,79.31,39.13,17,11,10,9,12,Sr.,NDSU,24-6,21
157,Ryan,Logan,Big 12,,4,5,NQ,,,,NR,NQ,NR,NR,31,,,,
157,Straw,Chase,Big 12,,5,4,NQ,,,,,NQ,NR,NR,NR,,,,
157,Thomas,Justin,Big 12,,6,6,NQ,,,,,NQ,NR,NR,NR,,,,
157,Zilverberg,Luke,Big 12,,3,3,8,1369.83,73.17,30,25,13,11,12,14,Sr.,SDSU,33-11,13
157,Alexander,Justin,Big Ten,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
157,Berger,Tyler,Big Ten,,5,4,3,1431.11,75,22.22,6,8,8,8,8,Jr.,NEB,28-9,8
157,Crone,Andrew,Big Ten,,6,3,cons 24,1390.13,69.23,40.74,11,14,13,17,22,Sr.,WISC,28-12,20
157,Danishek,Jake,Big Ten,,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
157,Jordan,Micah,Big Ten,,4,2,6,1470.37,74.29,69.23,3,7,7,7,6,Jr.,OHST,25-9,25
157,Kemerer,Michael,Big Ten,,1,MF,4,1504.98,90,70.37,1,6,3,2,5,So.,IOWA,27-3,24
157,Langenderfer,Kyle,Big Ten,,NS,cons 16,NQ,1354.66,54.55,41.67,32,NQ,NR,28,NR,,ILL,,
